TF	Log10Events	MDS_difference	p-value
	0	0	0
	0	0	0
P73_0	2.7415455167762093	0.1341019767109293	1.33265184443e-07
P63_0	2.5998830720736876	0.15804956180974547	2.4206618745e-06
BRCA1_0	3.3061032087275852	0.04599253359139861	2.59022141247e-06
MIXL1_0	2.718501688867274	0.06280162715684408	5.87359873561e-06
PITX2_0	3.994317152669636	0.01333439876747232	9.67375052952e-06
FOSL2_0	3.2913688504515823	-0.06147601101940123	7.14270513096e-05
MESP1_0	3.4871383754771865	0.027271202294973554	0.000153693127885
FOSL1_0	3.326335860928751	-0.05525640551860364	0.000213948798035
ZNF8_0	2.83916368291465	0.06632770066136541	0.000227669820362
HMGA2_0	2.021189299069938	-0.12145293417130198	0.00026061778341
FOS_0	3.101575246255933	-0.06711504499327323	0.000337730223853
IKZF1_0	4.0881715398643514	0.010883406682652462	0.000353659558159
ZN770_1	4.125172107179599	0.010396801134800406	0.000449520531751
DBP_0	2.728353782021228	0.05242007420545701	0.000555730869337
LHX8_0	2.575764980536719	0.05771246207375336	0.000560771357744
ZN260_0	2.91301868374796	0.049328775548783316	0.000711023333962
LHX6_0	3.013679697291192	-0.05155655756756543	0.000845289953215
JUN_0	3.1904717705733447	-0.05690156034001734	0.0010363055747
OZF_0	2.8819549713396	0.05022288676791478	0.00110284724463
HNF6_0	3.063145637106638	0.034380715604905944	0.00111111318206
MEIS2_0	2.60422605308447	0.0717587683439153	0.00129389959116
COT2_0	2.937016107464814	0.045321345952123074	0.001639102607
JUND_0	3.243410141653711	-0.051831362572353795	0.00165281425185
PURA_0	3.5693153754169784	-0.02491361519382522	0.00181299046488
MAZ_0	4.312991424258661	-0.0096397215304818	0.00188058051468
CREB3_0	1.7671558660821802	-0.2800239097313373	0.00193853117298
HXA9_0	2.9317120670567554	0.05581215811823087	0.00243320712647
LMX1A_0	3.2884728005997825	0.016890649935396754	0.00254646486117
AP2A_0	2.9872192299080047	0.04753255054587345	0.00282672142507
P53_0	2.45484486000851	0.12307579485516904	0.00317685549915
CUX2_0	2.955447210577695	0.036392556714772595	0.00358646834706
P53_1	2.72222246396973	0.0700146760186185	0.00364959912956
