TF	Log10Events	MDS_difference	p-value
	0	0	0
	0	0	0
	0	0	0
ZN770_0	4.2937712401144035	0.016107954739970617	3.50008910743e-12
ZN770_1	4.116175891100348	0.018480649234045073	5.60995250254e-10
FOSL2_0	3.2657609167176105	-0.09073785068114633	8.67033863423e-09
HXA9_0	2.8790958795000723	0.10535000412245271	2.11646817849e-08
JUND_0	3.21045229296202	-0.08711584966009829	2.9652229281e-07
MAZ_0	4.3317005427345965	-0.014772137790991848	4.29077417486e-07
ZN121_0	4.026533264523296	0.013683833928401909	1.1028240916e-06
WT1_0	4.0374663396435	-0.02215584781811585	2.44276924499e-06
MEIS1_0	2.7652959296980564	0.09291420670915529	3.05964014724e-06
RARG_1	3.932930142830789	0.01930434282530664	4.56794658055e-06
PITX2_0	3.9789789574442045	0.013272412332032765	5.58425272845e-06
FOSL1_0	3.295896818678989	-0.0692552571085029	6.15989165336e-06
RXRB_0	3.5691982833478133	0.0243440341639183	6.57174225549e-06
ZN467_0	4.211961072751234	-0.014076851548082388	9.98741847047e-06
THA_0	3.5155427003621216	0.021629003467710222	1.19536266094e-05
JUN_0	3.1637575239819555	-0.07697987680807107	1.43941582356e-05
CREB3_0	1.90036712865647	-0.29594531693087756	1.76149869138e-05
ESR2_1	4.118991800195975	0.015277403847859373	2.14607612605e-05
JUNB_0	3.323973605350882	-0.06196439154229984	2.20821989796e-05
VEZF1_0	4.330606524848078	-0.01195052808619164	2.4032967868e-05
RARA_0	3.4836586038374397	0.03014452449944113	2.44824933504e-05
RARB_0	3.7546540692554315	0.02047140360349003	2.47659213655e-05
FOXJ2_0	3.8297217811011612	0.016203839548243417	3.06489695134e-05
FOXL1_0	3.593784333419319	0.020839202205451737	3.14377006916e-05
ZN341_0	3.9311017456326387	-0.019483871812269394	3.88664831705e-05
MIXL1_0	2.6879746200345553	0.06094041943912616	4.54932787679e-05
ZN148_0	3.808312273973992	-0.02615692505018054	4.91217262956e-05
IKZF1_0	4.0758752952598325	0.01234327512102022	5.48847954338e-05
ZBT17_0	3.9527440240148985	-0.018907496816944678	6.85251829591e-05
PURA_0	3.596652066132439	-0.03127265249415105	7.41248849351e-05
