"baseMean"	"log2FoldChange"	"lfcSE"	"fc"	"stat"	"pvalue"	"padj"
"chr1:4785484-4785645"	264.445188224583	0.0847935037097004	0.1910919994515	1.06053593353406	0.444935081144455	0.656366669653022	0.999753828420943
"chr1:4807626-4808198"	398.994189272104	-0.128006800980361	0.177932262710519	0.915094854287078	-0.7202782787297	0.471353675808758	0.999753828420943
"chr1:4857257-4858279"	606.765331466603	0.0890230902982728	0.160971373494717	1.06364969644391	0.553018215322657	0.580250937218609	0.999753828420943
"chr1:5018842-5019807"	37.1929591313022	-0.211807214294509	0.17307812319804	0.863454933371038	-1.24658857907495	0.212548391553567	0.999753828420943
"chr1:5083105-5083451"	379.707425480353	-0.236796486315504	0.174555457923192	0.848627604862027	-1.35735123285486	0.174669635714392	0.999753828420943
"chr1:5740766-5740891"	3.4553326486586	0.0323910493078169	0.0698185454592885	1.02270570225694	0.457800367417815	0.647095871817671	NA
"chr1:6214139-6215195"	699.249186778114	0.179678233020398	0.172650417425845	1.13263124425358	1.03948790851465	0.298577878652921	0.999753828420943
"chr1:6311771-6312004"	20.4013325195011	-0.0240538718535614	0.147427833350544	0.9834653496396	-0.160767133852374	0.872276811854095	NA
"chr1:6343394-6343579"	1.050430641022	0.0296321225613638	0.0401634060792716	1.02075180773951	0.876922326947289	0.380528828215309	NA
"chr1:6358835-6360167"	99.5422478054635	0.0243272001600789	0.197922620589322	1.01700530177258	0.12336112483961	0.90182113977145	0.999753828420943
"chr1:7026225-7026772"	4.77223973445959	0.0959265460305007	0.0843328841771141	1.06875157496787	1.23979981899495	0.215049445200489	NA
"chr1:7088217-7089508"	339.605984531931	0.155015306912993	0.194336844876095	1.11343343163191	0.795063196895011	0.426576741567149	0.999753828420943
"chr1:7397467-7398460"	54.4617478226897	-0.11914747252755	0.190506369560767	0.92073157505946	-0.62477690521174	0.532117490308369	0.999753828420943
"chr1:8594857-8596151"	187.399693949159	-0.221659583520053	0.19385444288295	0.85757836585889	-1.14164841046474	0.253600192819592	0.999753828420943
"chr1:8962825-8963056"	1.98486067487938	0.0435700069283963	0.0576065058889952	1.03066108603644	0.810108268276928	0.417877952601125	NA
"chr1:9545232-9546391"	832.730201716052	-0.218678717323833	0.187707622895147	0.859352108072318	-1.16676102618751	0.24330689024868	0.999753828420943
"chr1:9627387-9627981"	6.58351730336179	0.0245293958763787	0.0913486561847321	1.01714784646863	0.260487858045224	0.794487480007893	NA
"chr1:9630166-9630879"	13.773119170231	0.0259899520234026	0.130283584084432	1.01817810840772	0.195944390445823	0.844653692112528	NA
"chr1:9700269-9701082"	318.056735489061	0.0335466987525704	0.182648659857721	1.02352525367793	0.183401206770089	0.854483229060906	0.999753828420943
"chr1:9747514-9749072"	391.84077947463	0.355313049369425	0.172392798492737	1.27926313756009	2.06100854874567	0.0393022245210265	0.999753828420943
"chr1:9762157-9762245"	1.297216176931	0.00499431253576827	0.0473254134178856	1.003467792581	0.102374064549859	0.918459768986234	NA
"chr1:9772997-9774323"	64.2552981609946	-0.227469927734568	0.188288657255914	0.854131480108506	-1.22083477097345	0.222148585764248	0.999753828420943
